id,date,commodity_group,commodity_id,commodity,price
7504009,2023-01-01,Grains & Pulses,1,Atta (Wheat),39
7504213,2023-01-01,Grains & Pulses,2,Gram Dal,76
7504408,2023-01-01,Edible Oils,3,Groundnut Oil (Packed),186
7504570,2023-01-01,Others,4,Gur,64
7504772,2023-01-01,Grains & Pulses,5,Masoor Dal,96
7504977,2023-01-01,Others,6,Milk @,40
7505177,2023-01-01,Grains & Pulses,7,Moong Dal,116
7505380,2023-01-01,Edible Oils,8,Mustard Oil (Packed),177
7505582,2023-01-01,Vegetables,9,Onion,24
7505783,2023-01-01,Edible Oils,10,Palm Oil (Packed),97
7505944,2023-01-01,Vegetables,11,Potato,32
7506147,2023-01-01,Grains & Pulses,12,Rice,61
7506352,2023-01-01,Others,13,Salt Pack (Iodised),25
7506743,2023-01-01,Others,15,Sugar,38
7506945,2023-01-01,Edible Oils,16,Sunflower Oil (Packed),154
7507126,2023-01-01,Others,17,Tea Loose,303
7507325,2023-01-01,Vegetables,18,Tomato,20
7507527,2023-01-01,Grains & Pulses,19,Tur/Arhar Dal,127
7507730,2023-01-01,Grains & Pulses,20,Urad Dal,126
7507932,2023-01-01,Edible Oils,21,Vanaspati (Packed),120
7508129,2023-01-01,Grains & Pulses,22,Wheat,41
7508331,2023-01-02,Grains & Pulses,1,Atta (Wheat),39
7508672,2023-01-02,Grains & Pulses,2,Gram Dal,79
7508999,2023-01-02,Edible Oils,3,Groundnut Oil (Packed),186
7509262,2023-01-02,Others,4,Gur,63
7509590,2023-01-02,Grains & Pulses,5,Masoor Dal,96
7509931,2023-01-02,Others,6,Milk @,40
7510260,2023-01-02,Grains & Pulses,7,Moong Dal,119
7510598,2023-01-02,Edible Oils,8,Mustard Oil (Packed),177
7510934,2023-01-02,Vegetables,9,Onion,27
7511262,2023-01-02,Edible Oils,10,Palm Oil (Packed),97
7511528,2023-01-02,Vegetables,11,Potato,37
7511862,2023-01-02,Grains & Pulses,12,Rice,61
7512204,2023-01-02,Others,13,Salt Pack (Iodised),25
7512852,2023-01-02,Others,15,Sugar,38
7513186,2023-01-02,Edible Oils,16,Sunflower Oil (Packed),154
7513486,2023-01-02,Others,17,Tea Loose,303
7513812,2023-01-02,Vegetables,18,Tomato,22
7514143,2023-01-02,Grains & Pulses,19,Tur/Arhar Dal,129
7514479,2023-01-02,Grains & Pulses,20,Urad Dal,129
7514812,2023-01-02,Edible Oils,21,Vanaspati (Packed),120
7515134,2023-01-02,Grains & Pulses,22,Wheat,41
7515445,2023-01-03,Grains & Pulses,1,Atta (Wheat),39
7515806,2023-01-03,Grains & Pulses,2,Gram Dal,79
7516151,2023-01-03,Edible Oils,3,Groundnut Oil (Packed),193
7516420,2023-01-03,Others,4,Gur,63
7516772,2023-01-03,Grains & Pulses,5,Masoor Dal,96
7517134,2023-01-03,Others,6,Milk @,40
7517484,2023-01-03,Grains & Pulses,7,Moong Dal,119
7517842,2023-01-03,Edible Oils,8,Mustard Oil (Packed),182
7518193,2023-01-03,Vegetables,9,Onion,29
7518545,2023-01-03,Edible Oils,10,Palm Oil (Packed),97
7518824,2023-01-03,Vegetables,11,Potato,42
